naics,name,baseline_tradable,corrected_tradable
311711,Seafood Canning,tradable,tradable
311712,Fresh and Frozen Seafood Processing,tradable,tradable
311811,Retail Bakeries,non-tradable,non-tradable
311812,Commercial Bakeries,non-tradable,non-tradable
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",tradable,tradable
311821,Cookie and Cracker Manufacturing,tradable,tradable
311822,Flour Mixes and Dough Manufacturing from Purchased Flour,tradable,tradable
311823,Dry Pasta Manufacturing,tradable,tradable
311830,Tortilla Manufacturing,tradable,tradable
311911,Roasted Nuts and Peanut Butter Manufacturing,tradable,tradable
311919,Other Snack Food Manufacturing,tradable,tradable
311920,Coffee and Tea Manufacturing,tradable,tradable
311930,Flavoring Syrup and Concentrate Manufacturing,tradable,tradable
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",tradable,tradable
311942,Spice and Extract Manufacturing,tradable,tradable
311991,Perishable Prepared Food Manufacturing,tradable,tradable
311999,All Other Miscellaneous Food Manufacturing,tradable,tradable
312111,Soft Drink Manufacturing,tradable,tradable
312112,Bottled Water Manufacturing,tradable,tradable
312113,Ice Manufacturing,non-tradable,non-tradable
312120,Breweries,tradable,tradable
312130,Wineries,non-tradable,non-tradable
312140,Distilleries,tradable,tradable
312210,Tobacco Stemming and Redrying,tradable,tradable
312221,Cigarette Manufacturing,tradable,tradable
312229,Other Tobacco Product Manufacturing,tradable,tradable
313111,Yarn Spinning Mills,tradable,tradable
313112,"Yarn Texturizing, Throwing, and Twisting Mills",tradable,tradable
313113,Thread Mills,tradable,tradable
313210,Broadwoven Fabric Mills,tradable,tradable
313221,Narrow Fabric Mills,tradable,tradable
313222,Schiffli Machine Embroidery,tradable,tradable
313230,Nonwoven Fabric Mills,tradable,tradable
313241,Weft Knit Fabric Mills,tradable,tradable
313249,Other Knit Fabric and Lace Mills,tradable,tradable
313311,Broadwoven Fabric Finishing Mills,tradable,tradable
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,tradable,tradable
313320,Fabric Coating Mills,tradable,tradable
314110,Carpet and Rug Mills,tradable,tradable
314121,Curtain and Drapery Mills,non-tradable,non-tradable
314129,Other Household Textile Product Mills,tradable,tradable
314911,Textile Bag Mills,tradable,tradable
314912,Canvas and Related Product Mills,non-tradable,non-tradable
314991,"Rope, Cordage, and Twine Mills",tradable,tradable
314992,Tire Cord and Tire Fabric Mills,tradable,tradable
314999,All Other Miscellaneous Textile Product Mills,non-tradable,tradable
315111,Sheer Hosiery Mills,tradable,tradable
315119,Other Hosiery and Sock Mills,tradable,tradable
315191,Outerwear Knitting Mills,tradable,tradable
315192,Underwear and Nightwear Knitting Mills,tradable,tradable
315211,Men's and Boys' Cut and Sew Apparel Contractors,tradable,non-tradable
315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",non-tradable,mixed
315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing,tradable,tradable
315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",tradable,tradable
315223,Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing,tradable,tradable
315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",tradable,tradable
