naics,name,baseline_tradable,corrected_tradable
334513," Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",tradable,tradable
334514,Totalizing Fluid Meter and Counting Device Manufacturing,tradable,tradable
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,tradable,tradable
334516,Analytical Laboratory Instrument Manufacturing,tradable,tradable
334517,Irradiation Apparatus Manufacturing,tradable,tradable
334518,"Watch, Clock, and Part Manufacturing",tradable,tradable
334519,Other Measuring and Controlling Device Manufacturing,tradable,tradable
334611,Software Reproducing,tradable,tradable
334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing",tradable,tradable
334613,Magnetic and Optical Recording Media Manufacturing,tradable,tradable
335110,Electric Lamp Bulb and Part Manufacturing,tradable,tradable
335121,Residential Electric Lighting Fixture Manufacturing,tradable,tradable
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",tradable,tradable
335129,Other Lighting Equipment Manufacturing,tradable,tradable
335211,Electric Housewares and Household Fan Manufacturing,tradable,tradable
335212,Household Vacuum Cleaner Manufacturing,tradable,tradable
335221,Household Cooking Appliance Manufacturing,tradable,tradable
335222,Household Refrigerator and Home Freezer Manufacturing,tradable,tradable
335224,Household Laundry Equipment Manufacturing,tradable,tradable
335228,Other Major Household Appliance Manufacturing,tradable,tradable
335311,"Power, Distribution, and Specialty Transformer Manufacturing",tradable,tradable
335312,Motor and Generator Manufacturing,tradable,tradable
335313,Switchgear and Switchboard Apparatus Manufacturing,tradable,tradable
335314,Relay and Industrial Control Manufacturing,tradable,tradable
335911,Storage Battery Manufacturing,tradable,tradable
335912,Primary Battery Manufacturing,tradable,tradable
335921,Fiber Optic Cable Manufacturing,tradable,tradable
335929,Other Communication and Energy Wire Manufacturing,tradable,tradable
335931,Current-Carrying Wiring Device Manufacturing,tradable,tradable
335932,Noncurrent-Carrying Wiring Device Manufacturing,tradable,tradable
335991,Carbon and Graphite Product Manufacturing,tradable,tradable
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,tradable,tradable
336111,Automobile Manufacturing,tradable,tradable
336112,Light Truck and Utility Vehicle Manufacturing,tradable,tradable
336120,Heavy Duty Truck Manufacturing,tradable,tradable
336211,Motor Vehicle Body Manufacturing,tradable,tradable
336212,Truck Trailer Manufacturing,tradable,tradable
336213,Motor Home Manufacturing,tradable,tradable
336214,Travel Trailer and Camper Manufacturing,tradable,tradable
336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing",tradable,tradable
336312,Gasoline Engine and Engine Parts Manufacturing,tradable,tradable
336321,Vehicular Lighting Equipment Manufacturing,tradable,tradable
336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,tradable,tradable
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,tradable,tradable
336340,Motor Vehicle Brake System Manufacturing,tradable,tradable
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,tradable,tradable
336360,Motor Vehicle Seating and Interior Trim Manufacturing,tradable,tradable
336370,Motor Vehicle Metal Stamping,tradable,tradable
336391,Motor Vehicle Air-Conditioning Manufacturing,tradable,tradable
336399,All Other Motor Vehicle Parts Manufacturing,non-tradable,tradable
336411,Aircraft Manufacturing,tradable,tradable
336412,Aircraft Engine and Engine Parts Manufacturing,tradable,tradable
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,tradable,tradable
336414,Guided Missile and Space Vehicle Manufacturing,tradable,tradable
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,tradable,tradable
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,tradable,tradable
336510,Railroad Rolling Stock Manufacturing,tradable,tradable
336611,Ship Building and Repairing,tradable,tradable
336612,Boat Building,tradable,tradable
336991,"Motorcycle, Bicycle, and Parts Manufacturing",tradable,tradable
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",tradable,tradable
336999,All Other Transportation Equipment Manufacturing,tradable,tradable
337110,Wood Kitchen Cabinet and Countertop Manufacturing,non-tradable,non-tradable
337121,Upholstered Household Furniture Manufacturing,tradable,tradable
337122,Nonupholstered Wood Household Furniture Manufacturing,non-tradable,non-tradable
337124,Metal Household Furniture Manufacturing,tradable,tradable
337125,Household Furniture (except Wood and Metal) Manufacturing,tradable,tradable
337127,Institutional Furniture Manufacturing,tradable,tradable
337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing",tradable,tradable
337211,Wood Office Furniture Manufacturing,tradable,tradable
337212,Custom Architectural Woodwork and Millwork Manufacturing,non-tradable,non-tradable
337214,Office Furniture (except Wood) Manufacturing,tradable,tradable
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",tradable,tradable
337910,Mattress Manufacturing,tradable,tradable
337920,Blind and Shade Manufacturing,tradable,tradable
339112,Surgical and Medical Instrument Manufacturing,tradable,tradable
339113,Surgical Appliance and Supplies Manufacturing,non-tradable,tradable
339114,Dental Equipment and Supplies Manufacturing,tradable,tradable
339115,Ophthalmic Goods Manufacturing,tradable,tradable
339116,Dental Laboratories,non-tradable,non-tradable
339911,Jewelry (except Costume) Manufacturing,tradable,tradable
339912,Silverware and Hollowware Manufacturing,tradable,tradable
339913,Jewelers' Material and Lapidary Work Manufacturing,tradable,tradable
339914,Costume Jewelry and Novelty Manufacturing,tradable,tradable
339920,Sporting and Athletic Goods Manufacturing,non-tradable,tradable
339931,Doll and Stuffed Toy Manufacturing,tradable,tradable
339932,"Game, Toy, and Children's Vehicle Manufacturing",tradable,tradable
339941,Pen and Mechanical Pencil Manufacturing,tradable,tradable
339942,Lead Pencil and Art Good Manufacturing,tradable,tradable
339943,Marking Device Manufacturing,tradable,tradable
339944,Carbon Paper and Inked Ribbon Manufacturing,tradable,tradable
339950,Sign Manufacturing,non-tradable,non-tradable
339991,"Gasket, Packing, and Sealing Device Manufacturing",tradable,tradable
339992,Musical Instrument Manufacturing,tradable,tradable
339993,"Fastener, Button, Needle, and Pin Manufacturing",tradable,tradable
339994,"Broom, Brush, and Mop Manufacturing",tradable,tradable
339995,Burial Casket Manufacturing,tradable,tradable
339999,All Other Miscellaneous Manufacturing,non-tradable,tradable
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,non-tradable,non-tradable
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,non-tradable,non-tradable
423130,Tire and Tube Merchant Wholesalers,non-tradable,non-tradable
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,non-tradable,non-tradable
423210,Furniture Merchant Wholesalers,non-tradable,non-tradable
423220,Home Furnishing Merchant Wholesalers,non-tradable,non-tradable
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",non-tradable,non-tradable
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",non-tradable,non-tradable
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",non-tradable,non-tradable
423390,Other Construction Material Merchant Wholesalers,non-tradable,non-tradable
423410,Photographic Equipment and Supplies Merchant Wholesalers,tradable,non-tradable
423420,Office Equipment Merchant Wholesalers,non-tradable,non-tradable
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,non-tradable,non-tradable
423440,Other Commercial Equipment Merchant Wholesalers,non-tradable,non-tradable
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",non-tradable,non-tradable
423460,Ophthalmic Goods Merchant Wholesalers,tradable,tradable
423490,Other Professional Equipment and Supplies Merchant Wholesalers,non-tradable,non-tradable
423510,Metal Service Centers and Other Metal Merchant Wholesalers,non-tradable,non-tradable
423520,Coal and Other Mineral and Ore Merchant Wholesalers,tradable,tradable
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",non-tradable,non-tradable
423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",non-tradable,non-tradable
423690,Other Electronic Parts and Equipment Merchant Wholesalers,non-tradable,non-tradable
423710,Hardware Merchant Wholesalers,non-tradable,non-tradable
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,non-tradable,non-tradable
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,non-tradable,non-tradable
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,non-tradable,non-tradable
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,non-tradable,non-tradable
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,non-tradable,non-tradable
423830,Industrial Machinery and Equipment Merchant Wholesalers,non-tradable,non-tradable
423840,Industrial Supplies Merchant Wholesalers,non-tradable,non-tradable
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,non-tradable,non-tradable
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,non-tradable,non-tradable
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,non-tradable,non-tradable
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,non-tradable,non-tradable
423930,Recyclable Material Merchant Wholesalers,non-tradable,non-tradable
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",non-tradable,mixed
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,non-tradable,non-tradable
424110,Printing and Writing Paper Merchant Wholesalers,tradable,tradable
424120,Stationery and Office Supplies Merchant Wholesalers,non-tradable,non-tradable
424130,Industrial and Personal Service Paper Merchant Wholesalers,non-tradable,non-tradable
424210,Drugs and Druggists' Sundries Merchant Wholesalers,non-tradable,non-tradable
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",non-tradable,non-tradable
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,non-tradable,non-tradable
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",non-tradable,mixed
424340,Footwear Merchant Wholesalers,tradable,non-tradable
424410,General Line Grocery Merchant Wholesalers,non-tradable,non-tradable
424420,Packaged Frozen Food Merchant Wholesalers,non-tradable,non-tradable
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,non-tradable,non-tradable
424440,Poultry and Poultry Product Merchant Wholesalers,tradable,non-tradable
424450,Confectionery Merchant Wholesalers,non-tradable,non-tradable
424460,Fish and Seafood Merchant Wholesalers,tradable,non-tradable
424470,Meat and Meat Product Merchant Wholesalers,non-tradable,non-tradable
424480,Fresh Fruit and Vegetable Merchant Wholesalers,non-tradable,non-tradable
424490,Other Grocery and Related Products Merchant Wholesalers,non-tradable,non-tradable
424510,Grain and Field Bean Merchant Wholesalers,non-tradable,non-tradable
424520,Livestock Merchant Wholesalers,tradable,tradable
424590,Other Farm Product Raw Material Merchant Wholesalers,tradable,tradable
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,non-tradable,non-tradable
424690,Other Chemical and Allied Products Merchant Wholesalers,non-tradable,non-tradable
424710,Petroleum Bulk Stations and Terminals,non-tradable,non-tradable
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),non-tradable,non-tradable
424810,Beer and Ale Merchant Wholesalers,non-tradable,non-tradable
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,tradable,non-tradable
424910,Farm Supplies Merchant Wholesalers,non-tradable,non-tradable
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",non-tradable,non-tradable
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",non-tradable,non-tradable
424940,Tobacco and Tobacco Product Merchant Wholesalers,non-tradable,non-tradable
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",non-tradable,non-tradable
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,non-tradable,non-tradable
425110,Business to Business Electronic Markets,tradable,tradable
425120,Wholesale Trade Agents and Brokers,non-tradable,non-tradable
441110,New Car Dealers,non-tradable,non-tradable
441120,Used Car Dealers,non-tradable,non-tradable
441210,Recreational Vehicle Dealers,non-tradable,non-tradable
441221,"Motorcycle, ATV, and Personal Watercraft Dealers",non-tradable,non-tradable
441222,Boat Dealers,non-tradable,non-tradable
441229,All Other Motor Vehicle Dealers,non-tradable,non-tradable
441310,Automotive Parts and Accessories Stores,non-tradable,non-tradable
441320,Tire Dealers,non-tradable,non-tradable
442110,Furniture Stores,non-tradable,non-tradable
442210,Floor Covering Stores,non-tradable,non-tradable
442291,Window Treatment Stores,non-tradable,non-tradable
442299,All Other Home Furnishings Stores,non-tradable,non-tradable
443111,Household Appliance Stores,non-tradable,non-tradable
443112,"Radio, Television, and Other Electronics Stores",non-tradable,non-tradable
443120,Computer and Software Stores,non-tradable,non-tradable
443130,Camera and Photographic Supplies Stores,non-tradable,non-tradable
444110,Home Centers,non-tradable,non-tradable
444120,Paint and Wallpaper Stores,non-tradable,non-tradable
444130,Hardware Stores,non-tradable,non-tradable
444190,Other Building Material Dealers,non-tradable,non-tradable
444210,Outdoor Power Equipment Stores,non-tradable,non-tradable
444220,"Nursery, Garden Center, and Farm Supply Stores",non-tradable,non-tradable
445110,Supermarkets and Other Grocery (except Convenience) Stores,non-tradable,non-tradable
445120,Convenience Stores,non-tradable,non-tradable
445210,Meat Markets,non-tradable,non-tradable
445220,Fish and Seafood Markets,tradable,non-tradable
445230,Fruit and Vegetable Markets,non-tradable,non-tradable
445291,Baked Goods Stores,non-tradable,non-tradable
445292,Confectionery and Nut Stores,non-tradable,non-tradable
445299,All Other Specialty Food Stores,non-tradable,non-tradable
445310,"Beer, Wine, and Liquor Stores",non-tradable,non-tradable
446110,Pharmacies and Drug Stores,non-tradable,non-tradable
446120,"Cosmetics, Beauty Supplies, and Perfume Stores",non-tradable,non-tradable
446130,Optical Goods Stores,non-tradable,non-tradable
446191,Food (Health) Supplement Stores,non-tradable,non-tradable
446199,All Other Health and Personal Care Stores,non-tradable,non-tradable
447110,Gasoline Stations with Convenience Stores,non-tradable,non-tradable
447190,Other Gasoline Stations,non-tradable,non-tradable
448110,Men's Clothing Stores,non-tradable,non-tradable
448120,Women's Clothing Stores,non-tradable,non-tradable
448130,Children's and Infants' Clothing Stores,non-tradable,non-tradable
448140,Family Clothing Stores,non-tradable,non-tradable
448150,Clothing Accessories Stores,non-tradable,non-tradable
448190,Other Clothing Stores,non-tradable,non-tradable
448210,Shoe Stores,non-tradable,non-tradable
448310,Jewelry Stores,non-tradable,non-tradable
448320,Luggage and Leather Goods Stores,tradable,non-tradable
451110,Sporting Goods Stores,non-tradable,non-tradable
451120,"Hobby, Toy, and Game Stores",non-tradable,non-tradable
451130,"Sewing, Needlework, and Piece Goods Stores",non-tradable,non-tradable
451140,Musical Instrument and Supplies Stores,non-tradable,non-tradable
451211,Book Stores,non-tradable,non-tradable
451212,News Dealers and Newsstands,tradable,non-tradable
451220,"Prerecorded Tape, Compact Disc, and Record Stores",non-tradable,non-tradable
452111,Department Stores (except Discount Department Stores),non-tradable,non-tradable
452112,Discount Department Stores,non-tradable,non-tradable
452910,Warehouse Clubs and Supercenters,non-tradable,non-tradable
452990,All Other General Merchandise Stores,non-tradable,non-tradable
453110,Florists,non-tradable,non-tradable
453210,Office Supplies and Stationery Stores,non-tradable,non-tradable
453220,"Gift, Novelty, and Souvenir Stores",non-tradable,non-tradable
453310,Used Merchandise Stores,non-tradable,non-tradable
453910,Pet and Pet Supplies Stores,non-tradable,non-tradable
453920,Art Dealers,non-tradable,non-tradable
453930,Manufactured (Mobile) Home Dealers,non-tradable,non-tradable
453991,Tobacco Stores,non-tradable,non-tradable
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),non-tradable,non-tradable
454111,Electronic Shopping,non-tradable,tradable
454112,Electronic Auctions,tradable,tradable
454113,Mail-Order Houses,non-tradable,non-tradable
454210,Vending Machine Operators,non-tradable,non-tradable
454311,Heating Oil Dealers,tradable,non-tradable
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers,non-tradable,non-tradable
454319,Other Fuel Dealers,tradable,non-tradable
454390,Other Direct Selling Establishments,non-tradable,non-tradable
481111,Scheduled Passenger Air Transportation,non-tradable,non-tradable
481112,Scheduled Freight Air Transportation,tradable,non-tradable
481211,Nonscheduled Chartered Passenger Air Transportation,non-tradable,non-tradable
481212,Nonscheduled Chartered Freight Air Transportation,tradable,non-tradable
481219,Other Nonscheduled Air Transportation,tradable,non-tradable
483111,Deep Sea Freight Transportation,tradable,tradable
483112,Deep Sea Passenger Transportation,tradable,tradable
483113,Coastal and Great Lakes Freight Transportation,tradable,tradable
483114,Coastal and Great Lakes Passenger Transportation,tradable,tradable
483211,Inland Water Freight Transportation,tradable,tradable
483212,Inland Water Passenger Transportation,tradable,tradable
484110,"General Freight Trucking, Local",non-tradable,non-tradable
484121,"General Freight Trucking, Long-Distance, Truckload",non-tradable,non-tradable
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",non-tradable,non-tradable
484210,Used Household and Office Goods Moving,non-tradable,non-tradable
484220,"Specialized Freight (except Used Goods) Trucking, Local",non-tradable,non-tradable
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",non-tradable,non-tradable
485111,Mixed Mode Transit Systems,tradable,tradable
485112,Commuter Rail Systems,tradable,tradable
485113,Bus and Other Motor Vehicle Transit Systems,tradable,tradable
485119,Other Urban Transit Systems,tradable,tradable
485210,Interurban and Rural Bus Transportation,tradable,tradable
485310,Taxi Service,non-tradable,non-tradable
485320,Limousine Service,non-tradable,non-tradable
485410,School and Employee Bus Transportation,non-tradable,non-tradable
485510,Charter Bus Industry,non-tradable,non-tradable
485991,Special Needs Transportation,non-tradable,non-tradable
485999,All Other Transit and Ground Passenger Transportation,non-tradable,non-tradable
486110,Pipeline Transportation of Crude Oil,tradable,tradable
486210,Pipeline Transportation of Natural Gas,non-tradable,non-tradable
486910,Pipeline Transportation of Refined Petroleum Products,tradable,tradable
486990,All Other Pipeline Transportation,tradable,tradable
487110,"Scenic and Sightseeing Transportation, Land",tradable,tradable
487210,"Scenic and Sightseeing Transportation, Water",tradable,tradable
487990,"Scenic and Sightseeing Transportation, Other",tradable,tradable
488111,Air Traffic Control,tradable,non-tradable
488119,Other Airport Operations,non-tradable,non-tradable
488190,Other Support Activities for Air Transportation,non-tradable,non-tradable
488210,Support Activities for Rail Transportation,non-tradable,non-tradable
488310,Port and Harbor Operations,tradable,tradable
488320,Marine Cargo Handling,tradable,tradable
488330,Navigational Services to Shipping,tradable,tradable
488390,Other Support Activities for Water Transportation,tradable,tradable
488410,Motor Vehicle Towing,non-tradable,non-tradable
488490,Other Support Activities for Road Transportation,non-tradable,non-tradable
488510,Freight Transportation Arrangement,non-tradable,non-tradable
488991,Packing and Crating,non-tradable,non-tradable
488999,All Other Support Activities for Transportation,tradable,non-tradable
492110,Couriers and Express Delivery Services,non-tradable,non-tradable
492210,Local Messengers and Local Delivery,non-tradable,non-tradable
493110,General Warehousing and Storage,non-tradable,non-tradable
493120,Refrigerated Warehousing and Storage,non-tradable,non-tradable
493130,Farm Product Warehousing and Storage,tradable,non-tradable
493190,Other Warehousing and Storage,non-tradable,non-tradable
511110,Newspaper Publishers,non-tradable,non-tradable
511120,Periodical Publishers,non-tradable,non-tradable
511130,Book Publishers,non-tradable,non-tradable
511140,Directory and Mailing List Publishers,non-tradable,non-tradable
511191,Greeting Card Publishers,tradable,tradable
511199,All Other Publishers,tradable,tradable
511210,Software Publishers,non-tradable,non-tradable
512110,Motion Picture and Video Production,non-tradable,mixed
512120,Motion Picture and Video Distribution,tradable,tradable
512131,Motion Picture Theaters (except Drive-Ins),non-tradable,non-tradable
512132,Drive-In Motion Picture Theaters,tradable,non-tradable
512191,Teleproduction and Other Postproduction Services,tradable,tradable
512199,Other Motion Picture and Video Industries,tradable,tradable
512210,Record Production,tradable,tradable
512220,Integrated Record Production/Distribution,tradable,tradable
512230,Music Publishers,tradable,tradable
512240,Sound Recording Studios,tradable,tradable
512290,Other Sound Recording Industries,tradable,tradable
515111,Radio Networks,non-tradable,non-tradable
515112,Radio Stations,non-tradable,non-tradable
515120,Television Broadcasting,non-tradable,non-tradable
515210,Cable and Other Subscription Programming,tradable,tradable
517110,Wired Telecommunications Carriers,non-tradable,non-tradable
517210,Wireless Telecommunications Carriers (except Satellite),non-tradable,non-tradable
517410,Satellite Telecommunications,tradable,tradable
517911,Telecommunications Resellers,non-tradable,non-tradable
517919,All Other Telecommunications,non-tradable,non-tradable
518210,"Data Processing, Hosting, and Related Services",non-tradable,non-tradable
519110,News Syndicates,tradable,tradable
519120,Libraries and Archives,non-tradable,non-tradable
519130,Internet Publishing and Broadcasting and Web Search Portals,non-tradable,non-tradable
519190,All Other Information Services,tradable,tradable
521110,Monetary Authorities - Central Bank,tradable,tradable
522110,Commercial Banking,non-tradable,non-tradable
522120,Savings Institutions,non-tradable,non-tradable
522130,Credit Unions,non-tradable,non-tradable
522190,Other Depository Credit Intermediation,tradable,non-tradable
522210,Credit Card Issuing,tradable,tradable
522220,Sales Financing,non-tradable,non-tradable
522291,Consumer Lending,non-tradable,non-tradable
522292,Real Estate Credit,non-tradable,non-tradable
522293,International Trade Financing,tradable,tradable
522294,Secondary Market Financing,tradable,tradable
522298,All Other Nondepository Credit Intermediation,non-tradable,non-tradable
522310,Mortgage and Nonmortgage Loan Brokers,non-tradable,non-tradable
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",non-tradable,non-tradable
522390,Other Activities Related to Credit Intermediation,non-tradable,non-tradable
523110,Investment Banking and Securities Dealing,non-tradable,mixed
523120,Securities Brokerage,non-tradable,non-tradable
523130,Commodity Contracts Dealing,tradable,tradable
523140,Commodity Contracts Brokerage,tradable,tradable
523210,Securities and Commodity Exchanges,tradable,tradable
523910,Miscellaneous Intermediation,non-tradable,non-tradable
523920,Portfolio Management,non-tradable,non-tradable
523930,Investment Advice,non-tradable,non-tradable
523991,"Trust, Fiduciary, and Custody Activities",non-tradable,non-tradable
523999,Miscellaneous Financial Investment Activities,tradable,non-tradable
524113,Direct Life Insurance Carriers,non-tradable,non-tradable
524114,Direct Health and Medical Insurance Carriers,non-tradable,non-tradable
524126,Direct Property and Casualty Insurance Carriers,non-tradable,non-tradable
524127,Direct Title Insurance Carriers,non-tradable,non-tradable
524128," Other Direct Insurance (except Life, Health, and Medical) Carriers",tradable,non-tradable
524130,Reinsurance Carriers,tradable,tradable
524210,Insurance Agencies and Brokerages,non-tradable,non-tradable
524291,Claims Adjusting,non-tradable,non-tradable
524292,Third Party Administration of Insurance and Pension Funds,non-tradable,non-tradable
524298,All Other Insurance Related Activities,non-tradable,non-tradable
525910,Open-End Investment Funds,tradable,tradable
525990,Other Financial Vehicles,tradable,tradable
531110,Lessors of Residential Buildings and Dwellings,non-tradable,non-tradable
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),non-tradable,non-tradable
531130,Lessors of Miniwarehouses and Self-Storage Units,non-tradable,non-tradable
531190,Lessors of Other Real Estate Property,non-tradable,non-tradable
531210,Offices of Real Estate Agents and Brokers,non-tradable,non-tradable
531311,Residential Property Managers,non-tradable,non-tradable
531312,Nonresidential Property Managers,non-tradable,non-tradable
531320,Offices of Real Estate Appraisers,non-tradable,non-tradable
531390,Other Activities Related to Real Estate,non-tradable,non-tradable
532111,Passenger Car Rental,non-tradable,non-tradable
532112,Passenger Car Leasing,tradable,non-tradable
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",non-tradable,non-tradable
532210,Consumer Electronics and Appliances Rental,non-tradable,non-tradable
532220,Formal Wear and Costume Rental,non-tradable,non-tradable
532230,Video Tape and Disc Rental,non-tradable,non-tradable
532291,Home Health Equipment Rental,non-tradable,non-tradable
532292,Recreational Goods Rental,non-tradable,non-tradable
532299,All Other Consumer Goods Rental,non-tradable,non-tradable
532310,General Rental Centers,non-tradable,non-tradable
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",tradable,tradable
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",non-tradable,non-tradable
532420,Office Machinery and Equipment Rental and Leasing,tradable,tradable
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,non-tradable,non-tradable
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),non-tradable,non-tradable
541110,Offices of Lawyers,non-tradable,non-tradable
541191,Title Abstract and Settlement Offices,non-tradable,non-tradable
541199,All Other Legal Services,non-tradable,non-tradable
541211,Offices of Certified Public Accountants,non-tradable,non-tradable
541213,Tax Preparation Services,non-tradable,non-tradable
541214,Payroll Services,non-tradable,non-tradable
541219,Other Accounting Services,non-tradable,non-tradable
541310,Architectural Services,non-tradable,non-tradable
541320,Landscape Architectural Services,non-tradable,non-tradable
541330,Engineering Services,non-tradable,non-tradable
541340,Drafting Services,non-tradable,non-tradable
541350,Building Inspection Services,non-tradable,non-tradable
541360,Geophysical Surveying and Mapping Services,tradable,tradable
541370,Surveying and Mapping (except Geophysical) Services,non-tradable,non-tradable
541380,Testing Laboratories,non-tradable,non-tradable
541410,Interior Design Services,non-tradable,non-tradable
541420,Industrial Design Services,tradable,tradable
541430,Graphic Design Services,non-tradable,non-tradable
541490,Other Specialized Design Services,tradable,tradable
541511,Custom Computer Programming Services,non-tradable,non-tradable
541512,Computer Systems Design Services,non-tradable,non-tradable
541513,Computer Facilities Management Services,non-tradable,non-tradable
541519,Other Computer Related Services,non-tradable,non-tradable
541611,Administrative Management and General Management Consulting Services,non-tradable,non-tradable
541612,Human Resources Consulting Services,non-tradable,non-tradable
541613,Marketing Consulting Services,non-tradable,non-tradable
541614,"Process, Physical Distribution, and Logistics Consulting Services",non-tradable,non-tradable
541618,Other Management Consulting Services,non-tradable,non-tradable
541620,Environmental Consulting Services,non-tradable,non-tradable
541690,Other Scientific and Technical Consulting Services,non-tradable,non-tradable
541711,Research and Development in Biotechnology,non-tradable,non-tradable
541712,"Reseach and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",non-tradable,non-tradable
541720,Research and Development in the Social Sciences and Humanities,non-tradable,mixed
541810,Advertising Agencies,non-tradable,non-tradable
541820,Public Relations Agencies,non-tradable,mixed
541830,Media Buying Agencies,tradable,tradable
541840,Media Representatives,non-tradable,non-tradable
541850,Display Advertising,non-tradable,non-tradable
541860,Direct Mail Advertising,non-tradable,non-tradable
541870,Advertising Material Distribution Services,tradable,tradable
541890,Other Services Related to Advertising,non-tradable,non-tradable
541910,Marketing Research and Public Opinion Polling,non-tradable,non-tradable
541921,"Photography Studios, Portrait",non-tradable,non-tradable
541922,Commercial Photography,non-tradable,non-tradable
541930,Translation and Interpretation Services,non-tradable,non-tradable
541940,Veterinary Services,non-tradable,non-tradable
541990,"All Other Professional, Scientific, and Technical Services",non-tradable,non-tradable
551111,Offices of Bank Holding Companies,non-tradable,non-tradable
551112,Offices of Other Holding Companies,non-tradable,non-tradable
551114,"Corporate, Subsidiary, and Regional Managing Offices",non-tradable,non-tradable
561110,Office Administrative Services,non-tradable,non-tradable
561210,Facilities Support Services,non-tradable,non-tradable
561311,Employment Placement Agencies,non-tradable,non-tradable
561312,Executive Search Services,non-tradable,non-tradable
561320,Temporary Help Services,non-tradable,non-tradable
561330,Professional Employer Organizations,non-tradable,mixed
561410,Document Preparation Services,non-tradable,non-tradable
561421,Telephone Answering Services,non-tradable,non-tradable
561422,Telemarketing Bureaus and Other Contact Centers,non-tradable,non-tradable
561431,Private Mail Centers,non-tradable,non-tradable
561439,Other Business Service Centers (including Copy Shops),non-tradable,non-tradable
561440,Collection Agencies,non-tradable,non-tradable
561450,Credit Bureaus,tradable,tradable
561491,Repossession Services,non-tradable,non-tradable
561492,Court Reporting and Stenotype Services,non-tradable,non-tradable
561499,All Other Business Support Services,non-tradable,non-tradable
561510,Travel Agencies,non-tradable,non-tradable
561520,Tour Operators,non-tradable,non-tradable
561591,Convention and Visitors Bureaus,non-tradable,non-tradable
